url	Claim	Trust
https://www.politifact.com/factchecks/2023/mar/29/instagram-posts/evidence-does-not-show-barack-obama-had-a-boyfrien/	A photo shows former President Barack Obama’s “old boyfriend,” to whom he paid “hush money.”	pants-fire
https://www.politifact.com/factchecks/2023/mar/29/american-principles-project/claim-linking-protasiewicz-school-policy-trans-stu/	"American Principles Project-At a Wisconsin school, a 12-year-old girl ""was transitioned into a boy by school officials without parental consent,"" and Protasiewicz supports it."	pants-fire
https://www.politifact.com/factchecks/2023/mar/28/facebook-posts/another-false-sam-hyde-meme-circulates-after-nashv/	The Nashville, Tennessee, school shooter was Samantha Hyde.	pants-fire
https://www.politifact.com/factchecks/2023/mar/27/tiktok-posts/alvin-bragg-didnt-say-he-would-drop-charges-agains/	TikTok posts-Manhattan District Attorney Alvin Bragg announced that his office “has decided to drop all charges against Donald Trump.”	pants-fire
https://www.politifact.com/factchecks/2023/mar/27/facebook-posts/no-this-photo-doesnt-show-a-john-fetterman-body-do/	Photo shows Pennsylvania Sen. John Fetterman has a body double.	pants-fire
https://www.politifact.com/factchecks/2023/mar/22/facebook-posts/video-elon-musk-talking-about-andrew-tate-deepfake/	Video shows Elon Musk saying he bought Twitter and unblocked Andrew Tate’s Twitter account because “we need to escape the suppression from the matrix and expose the global elites.”	pants-fire
https://www.politifact.com/factchecks/2023/mar/21/facebook-posts/donald-trump-former-us-president-not-current-comma/	Former President Donald Trump is the “current sitting” commander in chief.	pants-fire
https://www.politifact.com/factchecks/2023/mar/21/instagram-posts/now-you-know-abcs-test-for-presidents-isnt-real/	Joe Biden was the first president in 100 years to unsuccessfully sing the alphabet song.	pants-fire
https://www.politifact.com/factchecks/2023/mar/20/blog-posting/angelina-jolie-alive-despite-social-media-posts-cl/	Bloggers-Angelina Jolie is dead.	pants-fire
https://www.politifact.com/factchecks/2023/mar/20/tiktok-posts/audio-clip-president-joe-biden-talking-about-bank/	TikTok posts-Says President Joe Biden was recorded talking about bank collapse.	pants-fire
https://www.politifact.com/factchecks/2023/mar/20/instagram-posts/no-arrest-pending-dr-anthony-fauci-these-posts-are/	“BREAKING: ANTHONY FAUCI is set to be arrested!!!”	pants-fire
https://www.politifact.com/factchecks/2023/mar/15/facebook-posts/monster-energy-logo-reference-to-antichrist/	Monster Energy’s logo uses a sign of the anti-Christ as part of its marketing effort.	pants-fire
https://www.politifact.com/factchecks/2023/mar/14/viral-image/ditch-those-crucifixes-video-doesnt-prove-secret-s/	Viral image-Video shows U.S. Secret Service agents are demons.	pants-fire
https://www.politifact.com/factchecks/2023/mar/14/viral-image/social-media-post-announcing-who-arrests-pandemic/	Viral image-“Emergency injunction and tribunal order was served to WHO … to immediately cease and desist a criminal conspiracy to commit war crimes.”	pants-fire
https://www.politifact.com/factchecks/2023/mar/13/facebook-posts/prince-harry-wasnt-deported-from-the-united-states/	“Harry could be exiled to Botswana after he was deported from the United States due to an expired visa.”	pants-fire
https://www.politifact.com/factchecks/2023/mar/10/scott-adams/unite-the-right-rally-was-real-not-a-staged-intel/	Scott Adams-The 2017 Unite the Right rally in Charlottesville, Virginia, was “an American intel op against Trump.”	pants-fire
https://www.politifact.com/factchecks/2023/mar/09/facebook-posts/white-house-visitors-center-photo-looks-joe-biden/	The White House Visitor Center is displaying a photo of a fake President Joe Biden.	pants-fire
https://www.politifact.com/factchecks/2023/mar/09/facebook-posts/no-president-joe-biden-isnt-in-the-guantanamo-bay/	President Joe Biden is “in Gitmo.”	pants-fire
https://www.politifact.com/factchecks/2023/mar/09/facebook-posts/alexandria-ocasio-cortez-still-tweeting-despite-ba/	Elon Musk banned U.S. Rep. Alexandria Ocasio-Cortez from Twitter.	pants-fire
https://www.politifact.com/factchecks/2023/mar/09/blog-posting/no-vladimir-putin-didnt-order-covid-19-vaccines-to/	Bloggers-Vladimir Putin “orders destruction of all COVID-19 vaccines in Russia.”	pants-fire
https://www.politifact.com/factchecks/2023/mar/08/facebook-posts/video-doesnt-show-us-rep-chip-roy-grilling-vice-pr/	“Crowd erupts as Chip Roy grills Kamala Harris as she lies in Congress” in video.	pants-fire
https://www.politifact.com/factchecks/2023/mar/08/instagram-posts/bill-gates-isnt-wanted-for-premeditated-murder-in/	“Bill Gates arrest warrant issued in Philippines for ‘premeditated murder’ linked to vaccine roll out.”	pants-fire
https://www.politifact.com/factchecks/2023/mar/08/tucker-carlson/evidence-rebuts-tucker-carlsons-claim-about-capito/	Tucker Carlson-Capitol Police officers “helped” QAnon Shaman Jacob Chansley and “acted as his tour guides.”	pants-fire
https://www.politifact.com/factchecks/2023/mar/07/facebook-posts/uks-borders-remain-open-they-werent-closed-to-keep/	The United Kingdom’s “Parliament closed its borders to prevent Harry and Meg from flying to the UK in order to protect the king.”	pants-fire
https://www.politifact.com/factchecks/2023/mar/06/facebook-posts/is-the-moon-habitable-for-people-not-with-its-lack/	“The moon is a habitable place.”	pants-fire
https://www.politifact.com/factchecks/2023/feb/28/facebook-posts/michelle-obama-was-never-man/	“Official govt docs expose Michelle Obama’s 14 year history as a man.”	pants-fire
https://www.politifact.com/factchecks/2023/feb/27/viral-image/the-war-in-ukraine-isnt-fake-and-these-photos-dont/	Viral image-Photos of an apartment building in Kyiv are evidence the war in Ukraine “is fake.”	pants-fire
https://www.politifact.com/factchecks/2023/feb/23/facebook-posts/president-joe-biden-is-alive-and-traveling-he-wasn/	President Joe Biden was “shot” in a “behind-the-scenes execution.”	pants-fire
https://www.politifact.com/factchecks/2023/feb/23/blog-posting/claims-that-vladimir-putin-destroyed-an-adrenochro/	Bloggers-“Putin decimates another adrenochrome warehouse in Ukraine.”	pants-fire
https://www.politifact.com/factchecks/2023/feb/23/instagram-posts/winston-churchills-world-war-ii-memoirs-arent-evid/	Winston Churchill didn’t mention the Holocaust in his memoirs because it didn’t happen.	pants-fire
https://www.politifact.com/factchecks/2023/feb/22/george-santos/george-santos-said-he-never-claimed-to-be-jewish-b/	George Santos-“I never claimed to be Jewish.”	pants-fire
https://www.politifact.com/factchecks/2023/feb/17/tucker-carlson/tucker-carlson-wrong-diversity-makes-biden-adminis/	Tucker Carlson-“No administration has ever looked less like America, just by the numbers, than the Biden administration.”	pants-fire
https://www.politifact.com/factchecks/2023/feb/16/viral-image/did-joe-biden-profanely-mention-pacemakers-speech/	Viral image-President Joe Biden said “this s--- will turn your pacemaker off.”	pants-fire
https://www.politifact.com/factchecks/2023/feb/16/blog-posting/vladimir-putin-didnt-intercept-shipment-of-chemica/	Bloggers-Russian President Vladimir Putin “intercepts adrenochrome shipment headed to United States.”	pants-fire
https://www.politifact.com/factchecks/2023/feb/13/tweets/rumor-about-nfl-investigating-patrick-mahomes-drug/	Tweets-The Kansas City Chiefs’ Super Bowl win has been “put on hold as NFL plans to launch an investigation on possible (performance-enhancing drug) use by Patrick Mahomes during halftime.”	pants-fire
https://www.politifact.com/factchecks/2023/feb/10/instagram-posts/we-know-all-about-pants-doctored-image-falsely-sho/	“Joe Biden put his pants on backwards”	pants-fire
https://www.politifact.com/factchecks/2023/feb/10/facebook-posts/was-someone-joe-biden-mask-state-union-no-it-was-b/	Photos show someone in a President Joe Biden mask at the State of the Union.	pants-fire
https://www.politifact.com/factchecks/2023/feb/09/instagram-posts/earthquake-syria-and-turkey-was-real-natural-disas/	"Earthquake in Turkey and Syria is ""a systemic attack against Kurdish people."	pants-fire
https://www.politifact.com/factchecks/2023/feb/07/tweets/a-leaked-super-bowl-script-we-throw-a-flag-on-this/	"Tweets-Image shows a ""Super Bowl script was leaked.”"	pants-fire
https://www.politifact.com/factchecks/2023/feb/07/instagram-posts/balloon-powered-satellites-space-conspiracies-flou/	“‘Satellites’ are on balloons and not in space.”	pants-fire
https://www.politifact.com/factchecks/2023/feb/06/tweets/nato-and-us-troops-and-trainers-have-not-died-ukra/	Tweets-In Ukraine, 2,458 NATO soldiers and 234 NATO military trainers have died, some of whom are from the U.S.	pants-fire
https://www.politifact.com/factchecks/2023/feb/06/instagram-posts/joe-biden-has-offered-support-transgender-american/	Joe Biden said to transgender women, “you will never be a real woman.”	pants-fire
https://www.politifact.com/factchecks/2023/jan/31/facebook-posts/the-evidence-is-plentiful-black-americans-ancestor/	Black Americans are not descended from people who were taken from Africa to be enslaved.	pants-fire
https://www.politifact.com/factchecks/2023/jan/30/instagram-posts/final-frontier-no-nasa-didnt-stop-studying-oceans/	“NASA stopped exploring the ocean.”	pants-fire
https://www.politifact.com/factchecks/2023/jan/30/facebook-posts/the-us-still-exists-biden-didnt-sign-away-the-coun/	The United States of America “no longer exists” because President Joe Biden “signed away our sovereignty as a nation.”	pants-fire
https://www.politifact.com/factchecks/2023/jan/27/viral-image/flames-from-hell-thats-just-the-truth-o-meter-burn/	Viral image-A photo shows “Barack Obama dressed up as Baphomet (Lucifer).”	pants-fire
https://www.politifact.com/factchecks/2023/jan/27/facebook-posts/damar-hamlin-alive-despite-baseless-claims-contrar/	Hospital photo of Damar Hamlin proves “he’s a corpse.”	pants-fire
https://www.politifact.com/factchecks/2023/jan/26/instagram-posts/titanic-sinking-was-accident-caused-over-1500-deat/	The sinking of the Titanic was orchestrated by the Rothschilds and J.P. Morgan to kill prominent businessmen who opposed the creation of the Federal Reserve.	pants-fire
https://www.politifact.com/factchecks/2023/jan/26/facebook-posts/sen-josh-hawley-didnt-tell-professor-he-refused-to/	Sen. Josh Hawley told professor, “I will not use your pronouns.”	pants-fire
https://www.politifact.com/factchecks/2023/jan/25/blog-posting/fabricated-story-falsely-claims-vladimir-putin-des/	Bloggers-“Putin destroys adrenochrome lab in Ukraine.”	pants-fire
https://www.politifact.com/factchecks/2023/jan/24/facebook-posts/actor-isaac-kappy-died-years-ago-qanon-claims-he-w/	Actor Isaac Kappy was murdered for exposing Hollywood pedophiles.	pants-fire
https://www.politifact.com/factchecks/2023/jan/23/tiktok-posts/damar-hamlin-appeared-at-the-buffalo-bills-game-co/	TikTok posts-Damar Hamlin wasn’t at the Buffalo Bills' playoff game.	pants-fire
https://www.politifact.com/factchecks/2023/jan/23/instagram-posts/photo-2017-used-false-post-alleging-recent-new-yor/	New York is bombed. At this moment, there are many injured.”	pants-fire
https://www.politifact.com/factchecks/2023/jan/20/instagram-posts/bill-gates-didnt-tweet-about-adding-vaccines-to-fo/	Bill Gates tweeted that “vaccines in our food supply solves the problem of vaccine hesitancy.”	pants-fire
https://www.politifact.com/factchecks/2023/jan/20/instagram-posts/this-hidden-theater-in-italy-hosts-childrens-shows/	Video shows hidden theater “where elites sacrifice kids.”	pants-fire
https://www.politifact.com/factchecks/2023/jan/19/instagram-posts/comedian-joan-rivers-was-wrong-about-obamas/	Joan Rivers was killed for revealing that Barack Obama is gay and Michelle Obama is transgender.	pants-fire
https://www.politifact.com/factchecks/2023/jan/13/instagram-posts/magic-johnson-did-not-contract-hiv-contaminated-va/	"Magic Johnson tested positive for HIV ""because Fauci’s gain of function study used a contaminated Hepatitis B vaccine."	pants-fire
https://www.politifact.com/factchecks/2023/jan/12/viral-image/no-jfk-jr-didnt-attend-donald-trumps-inauguration/	Viral image-Video shows John F. Kennedy Jr. at Donald Trump’s presidential inauguration.	pants-fire
https://www.politifact.com/factchecks/2023/jan/12/viral-image/no-this-isnt-a-video-of-hillary-clinton-getting-ar/	Viral image-Video shows Hillary Clinton being arrested.	pants-fire
https://www.politifact.com/factchecks/2023/jan/12/instagram-posts/evidence-shows-bolsonaro-supporters-were-behind-br/	“Lula's staff infiltrated and caused damage while the Brazilian Patriots cleaned up.”	pants-fire
https://www.politifact.com/factchecks/2023/jan/09/instagram-posts/instagram-post-takes-tom-hanks-clip-out-context-fa/	"Tom Hanks shouting ""sexy baby"" is connected to Jeffery Epstein and pedophilia."	pants-fire
https://www.politifact.com/factchecks/2022/dec/20/viral-image/the-simpsons-didnt-predict-pizzagate/	Viral image-“The Simpsons predicted Pizzagate.”	pants-fire
https://www.politifact.com/factchecks/2022/dec/16/viral-image/no-these-images-dont-show-politicians-acting-inapp/	Viral image-A video shows lawmakers in compromising positions with children.	pants-fire
https://www.politifact.com/factchecks/2022/dec/16/facebook-posts/no-this-video-doesnt-show-jim-jordan-threatening-n/	A video shows Rep. Jim Jordan threatening House Speaker Nancy Pelosi with “‘possible’ jail time.”	pants-fire
https://www.politifact.com/factchecks/2022/dec/16/viral-image/katie-porter-didnt-call-pedophilia-an-identity/	Viral image-Says U.S. Rep. Katie Porter, D-Calif., “says pedophilia isn’t a crime — it’s an identity.”	pants-fire
https://www.politifact.com/factchecks/2022/dec/15/facebook-posts/no-merrick-garland-doesnt-tell-john-kennedy-to-wai/	Video shows Attorney General Merrick Garland saying, “Wait for revenge.”	pants-fire
https://www.politifact.com/factchecks/2022/dec/13/instagram-posts/vote-count-changes-after-polls-closed-in-georgia-a/	Early vote counts after the polls closed in Georgia’s U.S. Senate runoff are evidence of election fraud.	pants-fire
https://www.politifact.com/factchecks/2022/dec/12/viral-image/no-the-military-didnt-charge-nancy-pelosi-with-tre/	Viral image-“JAG charges Nancy Pelosi with treason and seditious conspiracy.”	pants-fire
https://www.politifact.com/factchecks/2022/dec/09/instagram-posts/no-rod-stewarts-son-didnt-suffer-a-covid-19-vaccin/	Rod Stewart’s son “was rushed to the hospital … with a suspected heart attack” because of a COVID-19 vaccine.	pants-fire
https://www.politifact.com/factchecks/2022/dec/08/instagram-posts/jeffrey-epstein-still-dead/	Drone footage confirms Jeffrey Epstein is alive.	pants-fire
https://www.politifact.com/factchecks/2022/dec/08/instagram-posts/no-paul-pelosi-didnt-have-mpox/	Paul Pelosi hasn’t been seen in public for months because he had mpox.	pants-fire
https://www.politifact.com/factchecks/2022/dec/08/viral-image/no-early-georgia-election-results-arent-evidence-o/	Viral image-News clip showing Herschel Walker with early lead in Georgia U.S. Senate runoff is evidence of fraud.	pants-fire
https://www.politifact.com/factchecks/2022/dec/07/viral-image/no-a-child-trafficking-camp-wasnt-found-in-arizona/	Viral image-“‘Child trafficking camp’ discovered in Arizona.”	pants-fire
https://www.politifact.com/factchecks/2022/dec/07/instagram-posts/kirstie-alley-died-colon-cancer/	Kirstie Alley faked her death.	pants-fire
https://www.politifact.com/factchecks/2022/dec/06/viral-image/no-these-arent-authentic-tweets-from-president-joe/	Viral image-President Joe Biden’s daughter-in-law tweeted, “The press is also covering up serious health issues that my father in law is facing. The plan is for Kamala to get a one track ride to the nomination in 2024.”	pants-fire
https://www.politifact.com/factchecks/2022/dec/06/instagram-posts/no-climate-activists-have-not-vowed-slaughter-mill/	Climate activists vow to slaughter millions of dogs to ‘reduce carbon pawprint.’”	pants-fire
https://www.politifact.com/factchecks/2022/dec/06/donald-trump/trump-said-2020-fraud-calls-for-termination-of-rul/	Donald Trump-“The revelation of massive & widespread fraud & deception” in the 2020 election “allows for the termination of all rules, regulations, and articles, even those found in the Constitution.”	pants-fire
https://www.politifact.com/factchecks/2022/dec/06/viral-image/photo-shows-schiffs-little-brother-not-a-child-he/	Viral image-Photo shows Rep. Adam Schiff and a “little boy he killed.”	pants-fire
https://www.politifact.com/factchecks/2022/dec/06/instagram-posts/memo-alleging-that-hitler-was-buried-in-spain-isnt/	Henry Kissinger’s “deathbed confession” shows “Adolf Hitler was buried in Spain” and lived to age 68.	pants-fire
https://www.politifact.com/factchecks/2022/dec/05/kanye-west/yes-hitler-was-responsible-deaths-six-million-jewi/	Kanye West-Hitler “didn’t kill 6 million Jews” and “the Holocaust is not what happened.”	pants-fire
https://www.politifact.com/factchecks/2022/dec/02/instagram-posts/no-rod-rosenstein-and-john-podesta-are-not-sons-hi/	Rod Rosenstein and John Podesta are the sons of Nazi leaders.	pants-fire
https://www.politifact.com/factchecks/2022/dec/01/viral-image/no-pfizer-ceo-albert-bourla-isnt-a-reptile/	Viral image-Video confirms Pfizer’s CEO is “reptilian.”	pants-fire
https://www.politifact.com/factchecks/2022/nov/30/instagram-posts/conspiracy-theory-about-the-nasas-challenger-space/	No NASA Challenger rocket blew up with people on it.	pants-fire
https://www.politifact.com/factchecks/2022/nov/22/tweets/no-club-q-shooting-colorado-springs-was-not-false/	Tweets-The Club Q shooting was a “false flag.”	pants-fire
