CHANNEL_ID,CHANNEL_TITLE,CHANNEL_VIEWS,COUNTRY,RELEVANCE,SUBS,CHANNEL_LIFETIME_DAILY_VIEWS,CHANNEL_LIFETIME_DAILY_VIEWS_RELEVANT,CHANNEL_VIDEO_VIEWS,RELEVANT_IMPRESSIONS_DAILY,RELEVANT_IMPRESSIONS_IN_DAILY,VIDEO_VIEWS_DAILY,RELEVANT_VIDEO_VIEWS_DAILY,AVG_MINUTES,FROM_DATE,TO_DATE,LR,TAGS,IDEOLOGY,MEDIA,LOGO_URL
UCVrIs4_Q3J8g_qRMJScOE3w,Kat Blaque 2.0,116999,US,1,14900,119.054027,119.054027,116792,179.51221627,103.044568535,114.545945946,114.545945946,47.666667,2019-04-30T00:00:00.0000000Z,2022-01-05T00:00:00.0000000Z,L,"[
  ""SocialJustice""
]",Social Justice,YouTube,https://yt3.ggpht.com/ip2bn8JtYwJm89b1yufcXVFKKNdJY1j_Dr0zXqB-kpswZqCz7z0ymK34kudkyomi9k5eNyA7deY=s88-c-k-c0x00ffffff-no-rj
UCNbQnkptty3cGVnHkJIJFwQ,SFAGI SFAGIGR,1939581,GR,1,16100,3391.728353,3391.728353,1997728,403.559175189,34.583304443,2148.874594595,2148.874594595,18.948718,2019-05-18T00:00:00.0000000Z,2020-12-27T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""PartisanRight"",
  ""QAnon""
]",QAnon,YouTube,https://yt3.ggpht.com/ytc/AAUvwngqDtjSUJMtQKVBCgj2X0oHaOGpRt6Rjofexa9n=s88-c-k-c0x00ffffff-no-rj
UCBu0KdNokE4MqdkacvH37_A,WFAA,221991054,US,0.95,272000,39503.736380,39503.736380,216085438,76715.012387564,134467.538868217,165322.231351351,157056.119783784,5.218887,2007-05-23T00:00:00.0000000Z,2022-05-14T00:00:00.0000000Z,C,"[
  ""Mainstream News""
]",Center/Left MSM,Mainstream Media,https://yt3.ggpht.com/ytc/AKedOLQ69v7RtkoNZ_70KZRLKVtGIfFVl3glFubznsmLMw=s88-c-k-c0x00ffffff-no-rj
UCmvhCWvHk3-SJqljh5cCm8A,illacertus,27747890,,0.8,436000,11398.800738,11398.800738,27801675,1868.86685448,3708.88525454,7467.657297297,5974.125837838,8.701031,2015-06-16T00:00:00.0000000Z,2022-02-18T00:34:47.7855211Z,R,"[
  ""AntiSJW""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AKedOLSxuEc6QfL0EoCLfGlrFT6oAnLVEFP9i7dTbNkfLQ=s88-c-k-c0x00ffffff-no-rj
UCCvpG-uTgnqd_ppXkQ4OQVg,BLAQ MASQ,4616377,GB,0.85,25900,977.706430,977.706430,4622596,129.105735827,126.271866033,3026.939459459,2572.898540541,2.635870,2009-05-20T00:00:00.0000000Z,2022-04-30T00:00:00.0000000Z,R,"[
  ""Conspiracy""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLRnBCKgZuFV0dKxg5jnnuxFnSybsOduG0KW79jYxQ=s88-c-k-c0x00ffffff-no-rj
UCb9R0TyctlF9i8PhQ7Ffv9g,Anna Perdue,13318,US,1,43000,1686.188725,1686.188725,2063895,4848.254805838,158.83680776,2098.742702703,2098.742702703,15.087137,2019-01-05T00:00:00.0000000Z,2022-05-13T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""PartisanRight"",
  ""QAnon""
]",QAnon,YouTube,https://yt3.ggpht.com/PBVVVDvofQhN6JkofiFtB73X37eyf58CS7Wgp6fuS9wZTe_3utm_N9GFvsspiYZrlKbtMtIb8w0=s88-c-k-c0x00ffffff-no-rj
UCL8Ol3ItR9ryi5irYUCM-Sg,Gray Winsler,1506666,US,1,14700,1422.999326,1422.999326,2110308,18.222102541,27.431212178,47.921081081,47.921081081,7.909091,2016-01-05T00:00:00.0000000Z,2020-01-27T00:00:00.0000000Z,R,"[
  ""Libertarian""
]",Libertarian,YouTube,https://yt3.ggpht.com/ytc/AKedOLTE49VF8eEGVtnRaieHzQIp9zY5Zi-uTZIr4l8MLw=s88-c-k-c0x00ffffff-no-rj
UCvy9bjqfawiaE_CklFSdnzg,abcqanda,76744767,,1,115000,14981.205338,14981.205338,76898527,13436.819062219,153826.054630603,40853.180540541,40853.180540541,22.255682,2008-04-22T00:00:00.0000000Z,2022-05-12T00:00:00.0000000Z,C,"[
  ""Mainstream News""
]",Center/Left MSM,Mainstream Media,https://yt3.ggpht.com/ytc/AKedOLRTsJSleOZajHdKqh0-FZuhp5VUFEW1ta_z1qeS1A=s88-c-k-c0x00ffffff-no-rj
UCZ9F9Vqr15Z3KoDM39UjVHQ,WORDS OF PEACE,3075967,,0.85,28400,746.110383,746.110383,3075467,236.075581171,257.644755345,641.389189189,545.180810811,33.909722,2010-01-14T00:00:00.0000000Z,2021-04-28T00:00:00.0000000Z,C,"[
  ""Conspiracy""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLRUCMqPx69HWra5D5TP4oazfPlDL09aSnecV1J0KQ=s88-c-k-c0x00ffffff-no-rj
UCKY44Gso9EtE5h-gphFGCqQ,TyGreen,2651139,US,0.85,32500,2221.750489,2221.750489,3410387,5445.534600358,652.970436893,2513.572972973,2136.537027027,11.565574,2018-02-28T12:44:22.0000000Z,2022-05-13T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""PartisanRight"",
  ""ReligiousConservative""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLSA_iV2aWth2SiD0_LLX7N79ZLmdCRTmwrK4quukQ=s88-c-k-c0x00ffffff-no-rj
